Quarter,RD Expenses,Sales and Marketing,General Admin Expenses
2017Q1,3355,3879,1202
2017Q2,3514,4356,1355
2017Q3,3574,3812,1166
2017Q4,3504,4562,1109
2018Q1,3715,4335,1208
2018Q2,3933,4760,1271
2018Q3,3977,4098,1149
2018Q4,4070,4588,1132
2019Q1,4316,4565,1179
2019Q2,4513,4962,1425
2019Q3,4565,4337,1061
2019Q4,4603,4933,1121
2020Q1,4887,4911,1273
2020Q2,5214,5417,1656
2020Q3,4926,4231,1119
2020Q4,4899,4947,1139
2021Q1,5204,5082,1327
2021Q2,5687,5857,1522
2021Q3,5599,4547,1287
2021Q4,5758,5379,1384
